Late Pass,Homework 1,Homework 2,Homework 3,Homework 4,Homework 5,Homework 6,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Quiz 6,Quiz 7,Midterm,Letter Grade,Grade
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,High-risk
1,89,62,68,99,85,87,8,8,7,0,5,8,5,10.2857142857,D+,High-risk
0,109,107,112,110,110,82,6,9,9,10,0,9,0,16.2857142857,A,Good
1,98,76,88,91,94,104,8,6,5,10,6,9,9,13.2857142857,B+,OK
1,95,81,95,85,85,85,7,8,7,5,6,10,6,11.5714285714,B-,OK
0,110,114,114,115,113,113,10,10,10,10,10,10,10,19.2857142857,A+,Good
0,0,104,115,106,112,0,0,0,0,2,0,0,0,0,F,High-risk
1,103,100,100,92,106,107,6,0,0,0,0,0,0,10.7142857143,D+,High-risk
1,97,80,93,104,87,85,8,9,6,6,10,8,10,15,B+,OK
0,78,95,82,90,102,89,5,0,7,5,6,5,0,7.7142857143,C+,High-risk
1,92,109,113,99,94,109,10,2,10,8,10,8,9,15.8571428571,A+,Good
0,88,86,76,104,108,93,4,1,5,3,6,6,10,5.1428571429,C,High-risk
0,87.5,75.5,95.25,88.5,108,95,7,10,7,7,7.83571428575,8.0089285714375,7.51116071429688,5.25,B,OK
1,75.75,107,84,82.75,107,103,6,0,2,4,3.2964285715,2.424107142875,3.03013392859375,5.625,C-,High-risk
0,106.25,96,100,88,103,89.5,7,10,8,5.5,7.825,7.90625,7.3828125,10.6875,A-,OK
0,104,79,95,90,93,94,8,10,9,8.5,9.25714285725,9.3392857143125,9.17410714289063,9.5625,B-,OK
1,92.5,58.75,72,70,62,59.5,5,5,0,0,2.6785714285,1.919642857125,1.14955357140625,6.375,F,High-risk
0,105.75,105.75,102,88,100,91,8,10,10,8.5,9.35714285725,9.4642857143125,9.33035714289063,11.625,A+,Good
0,93.75,84.25,103,86.5,106,108,7,10,7,7,7.925,8.03125,7.5390625,9.9375,B,OK
1,97,96,91.75,88,106,40.5,8,7.5,0,4.5,5.0535714285,4.263392857125,3.45424107140625,7.125,C,High-risk
0,94,96,100,90.5,107,105,6,5,5,7.5,6.13214285725,6.0580357143125,6.32254464289063,8.8125,C+,High-risk
1,98,104.25,92,75.5,105,91.5,8,10,8,10,9.34285714275,9.5357142856875,9.41964285710938,7.6875,B+,OK
0,101,110,97.75,102,104,105,8,9.583333333,9,8,8.8779761905,8.865327380875,8.68582589284375,12.1875,A+,Good
0,108,95,101,97.5,101,82.5,3,10,3,6.5,5.90714285725,6.4017857143125,5.50223214289062,9.5625,B+,OK
0,93.25,96,101,100,106,103,5,7.916666667,6,10,7.50773809525,7.9561011905625,7.96595982145312,7.125,B+,OK
1,94.75,89,96,93.5,105,66,9,0,6,5,5.0714285715,4.017857142875,5.02232142859375,5.8125,D-,High-risk
1,84.25,68.5,86.75,89,84,94,8,10,8,5,7.89285714275,7.7232142856875,7.15401785710938,9.5625,C,High-risk
0,91.25,67,72.75,81,82,74,5,8.333333333,2,0.5,4.15833333325,3.9479166665625,2.85156249995312,4.125,D+,High-risk
1,106.5,93,104.5,103.25,102,103,9,10,8,10,9.51071428575,9.4776785714375,9.34709821429687,15,A+,Good
1,81,84,69,82,100,106,7,7.083333333,8,5.5,6.981547619,6.941220238,6.90569196425,7.6875,C+,High-risk
1,95.75,88,88,88,108,105,8,9.166666667,8,8.5,8.648809524,8.57886904775,8.4319196429375,9.1875,B+,OK
1,63,65.25,77,92,104,90,8,0,9,3.5,5.36785714275,4.5669642856875,5.70870535710938,11.8125,C+,High-risk
0,106,94.25,100,93,98,87.75,9,8.333333333,9,7.5,8.619047619,8.363095238,8.37053571425,5.8125,A-,OK
1,98,68,89.25,77.5,102,84,9,10,8,7,8.7714285715,8.642857142875,8.30357142859375,10.6875,B+,OK
1,96,86.7316666666667,76.75,84.608574610245,89,86.7790432801822,6,0,0,0,1.51785714275,0.3794642856875,0.474330357109375,8.4375,F,High-risk
1,99.5,95,98,82.25,108,96.5,7,7.5,8,6.5,7.48660714275,7.3716517856875,7.33956473210938,4.5,B-,OK
0,90,110,83,98,102,106,6,9.166666667,7,5,7.13809523825,7.2261904763125,6.74107142864063,8.0625,B+,OK
0,74.75,64.5,83.5,68,83,100,7,8.75,2,4.5,5.7875,5.359375,4.51171875,8.0625,C-,High-risk
0,108.75,108,100,100,104,99,9,10,8,3,7.7714285715,7.392857142875,6.74107142859375,13.125,A+,Good
0,100,105.25,84,93,105,95,9,10,7,6.5,8.48571428575,8.1964285714375,7.74553571429688,10.125,A-,OK
0,89.5,90,78.5,101.5,94,68,7,7.916666667,2,0,4.55416666675,3.8177083334375,2.79296875004687,8.8125,C,High-risk
1,89,95,98,91,100,96,7,9.583333333,8,7,7.931547619,8.128720238,7.76506696425,6.375,B,OK
1,93,84,79.75,66,94,92,5,3.333333333,4,0,3.08333333325,2.6041666665625,2.42187499995312,5.4375,D-,High-risk
0,110,98.25,101.75,100,107,90,9,10,7,4,7.6214285715,7.205357142875,6.50669642859375,14.25,A+,Good
1,101.25,94,106,95,86,85,7,10,10,10,9.375,9.84375,9.8046875,5.4375,B,OK
1,89,89,92.25,95,106,94,8,10,5,4,6.8535714285,6.513392857125,5.64174107140625,9,B-,OK
0,102.75,96.25,92.5,86.75,106,104,8,10,7,2.5,7.15714285725,6.7142857143125,5.89285714289062,10.125,B+,OK
0,83.8241685144124,86.7316666666667,84.0044345898004,84.608574610245,89,86.7790432801822,0,0,0,0,0,0,0,4.125,F,High-risk
0,75.5,42,74.75,84.608574610245,89,86.7790432801822,8,0,0,0,2.14285714275,0.5357142856875,0.669642857109375,6.5625,F,High-risk
1,103,91,79,87.5,97,86.5,9,5.833333333,8,5,7.219047619,6.613095238,6.80803571425,10.6875,A-,OK
1,100,83,76,81.25,90,84,4,6.666666667,3,5,4.88809523825,5.0386904763125,4.63169642864063,8.0625,C,High-risk
0,93,82,84,84,88,75,8,10,8,5,7.8535714285,7.763392857125,7.20424107140625,10.125,B,OK
1,87,63,80,80,95,81,8,10,8,6,8.43214285725,8.3080357143125,7.88504464289063,8.0625,B-,OK
1,100.75,106.25,96,97,108,100,7,8.333333333,9,0,6.3476190475,5.970238095125,5.37946428565625,12.9375,A-,OK
0,107.5,109,102.5,100,108,93,8,10,8,10,9.33214285725,9.4330357143125,9.29129464289063,6.5625,A,Good
1,41,59,69.5,64.25,91,91,5,7.083333333,6,3.5,5.62440476175,5.6019345236875,5.23158482135938,7.3125,D-,High-risk
1,52.75,58,67.75,70.75,93,85,6,7.083333333,8,1,5.7779761905,5.615327380875,5.24832589284375,10.125,D,High-risk
0,94.75,99,102.5,92.75,103,108,7,9.583333333,10,4,7.77083333325,7.8385416665625,7.40234374995313,8.8125,A-,OK
0,105,88,84,102,88,96,8,10,6,6.5,7.91785714275,7.7544642856875,7.19308035710938,5.4375,B,OK
0,98.25,80,91,89,85,96.5,8,9.583333333,4,4.5,6.863690476,6.43675595225,5.6501116070625,8.625,B+,OK
1,101.5,81.5,86.5,88.5,104,102,8,10,8,0,6.93214285725,6.4330357143125,5.54129464289063,10.6875,B-,OK
0,89,84,93.5,86,99,81.5,6,5,6,9.5,6.93214285725,7.0580357143125,7.57254464289063,10.125,B-,OK
1,109,105,90,97,100,94,8,7.916666667,8,5.5,7.60773809525,7.4561011905625,7.34095982145313,5.4375,B-,OK
0,103.75,104,100,98.25,106,101.5,10,10,9,6,8.85,8.5625,8.203125,7.3125,A-,OK
1,66.75,71,72.5,85,82,89,8,7.083333333,2,6.5,6.04940476175,5.5081845236875,5.11439732135938,6.9375,F,High-risk
1,85.5,82.5,91,56,80,86.7790432801822,0,9.166666667,9,1.5,4.91666666675,6.1458333334375,5.39062500004687,3.9375,F,High-risk
2,81,82.25,93.5,96.5,100,87,6,7.5,3,5.5,5.70714285725,5.5267857143125,5.03348214289063,4.125,D+,High-risk
1,105.5,96.75,84.5,94.75,99,99.5,6,10,7,7,7.6964285715,7.924107142875,7.40513392859375,8.4375,B,OK
0,78,89,63,82,96,86.7790432801822,6,0,0,0,1.51785714275,0.3794642856875,0.474330357109375,6.1875,F,High-risk
1,91.5,84.75,89,72,100,87.5,6,6.666666667,9,3,6.273809524,6.23511904775,6.1272321429375,5.625,C-,High-risk
1,100.5,106,99,104,99,90.75,8,8.333333333,10,6.5,8.26190476175,8.2738095236875,8.25892857135938,12.375,A-,OK
0,101,93,84,96,99,108,7,9.583333333,6,10,8.381547619,8.691220238,8.46819196425,13.125,A,Good
1,86.5,100,88.5,88,100,86,9,8.75,8,2,7.0589285715,6.502232142875,5.94029017859375,7.125,B-,OK
1,100,105.5,104,105.5,97,106,9,10,9,10,9.7714285715,9.892857142875,9.86607142859375,13.5,A+,Good
2,91,83,96.5,96,108,99,9,9.583333333,6,3,7.206547619,6.597470238,5.85100446425,7.5,A-,OK
0,97,81.25,101,93,96,81.5,6,10,10,6.5,8.3214285715,8.705357142875,8.38169642859375,4.875,C,High-risk
0,98,80.75,102,92,88,89.5,7,10,10,9,9.21428571425,9.5535714285625,9.44196428570313,10.875,B+,OK
1,81,75,79,89,106,92,3,6,8,10,10,6,9,10.63636364,C,High-risk
1,71,70,78,78,91,79,5,6,7,10,10,7,7,8.045454545,C-,High-risk
1,65,88,74,94,105,84,7,7,8,4,9,4,7,7.909090909,D,High-risk
1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,F,High-risk
1,97,100,77,100,106,106,9,7,10,10,9,6,9,9.818181818,B,OK
1,90,91,79,105,93,95,5,6,9,10,7,5,9,10.36363636,B-,OK
1,72,80,78,61,66,83,0,4,8,5,5,2,4,8.181818182,D,High-risk
1,83,87,81,63,83,94,3,3,9,7,10,4,7,6.272727273,D+,High-risk
1,53,68,90,72,90,47,7,6,10,9,10,7,8,6.818181818,F,High-risk
1,69,83,99,91,103,97,10,4,7,7,10,5,8,10.90909091,C,High-risk
1,87,95,82,94,103,93,7,6,6,10,10,6,7,8.181818182,C-,High-risk
1,95,99,107,106,108,99,10,10,9,10,10,10,10,15.81818182,A+,Good
0,57,82,82,75,81,87,9,7,9,9,5,5,9,7.363636364,D+,High-risk
0,40,89,76,78,87,53,10,6,7,10,9,8,8,9.818181818,D+,High-risk
1,91,106,87,101,105,101,10,10,0,10,10,8,10,12.81818182,A,Good
0,102,98,103,100,105,96,3,8,8,10,10,8,10,10.36363636,B,OK
1,47,68,71,71,98,75,1,3,7,10,9,9,9,6.818181818,D-,High-risk
1,102,95,87,100,101,95,10,6,8,10,10,9,10,13.90909091,A-,OK
1,70,65,71,74,80,0,0,6,9,6,0,0,0,7.909090909,F,High-risk
0,88,86,87,82,83,99,0,6,7,10,8,5,7,6,C-,High-risk
1,31,54,66,52,53,84,7,5,5,9,8,7,8,6.818181818,F,High-risk
1,95,103,90,0,95,96,9,7,9,5,4,5,0,7.090909091,C-,High-risk
1,93,85,91,96,100,89,10,8,8,10,10,10,10,13.36363636,A-,OK
1,84,87,89,97,82,83,10,7,7,10,8,7,10,9.545454545,B-,OK
1,19,34,63,85,92,82,0,8,9,10,8,9,10,9.136363636,D-,High-risk
0,84,90,83,93,108,95,5,9,10,10,10,8,9,10.77272727,B+,OK
1,88,91,103,97,105,78,0,0,8,10,10,5,8,5.727272727,C,High-risk
0,99,98,104,103,108,103,1,7,10,10,10,7,10,10.09090909,B+,OK
1,104,108,102,93,100,96,10,8,10,10,10,8,9,12.81818182,A-,OK
0,96,107,90,89,97,81,5,8,9,10,8,9,10,12.27272727,B,OK
0,92,94,70,96,103,92,6,6,9,10,10,10,9,5.727272727,C,High-risk
0,85,96,96,100,107,101,10,5,10,10,10,10,10,12.68181818,A,Good
1,87,70,72,94,70,67,7,4,0,8,6,4,6,8.181818182,D,High-risk
1,24,23,16,0,47,0,0,5,9,8,0,0,0,5.454545455,F,High-risk
0,101,98,103,99,104,83,10,8,9,10,10,9,10,12,A-,OK
0,94,90,92,97,108,102,10,7,10,10,10,9,10,13.36363636,A-,OK
1,69,77,83,84,91,87,5,7,10,10,10,8,8,9.545454545,D+,High-risk
1,98,108,100,100,108,99,10,10,9,10,10,7,9,11.45454545,A-,OK
0,78,96,76,85,106,90,5,4,6,8,5,2,8,4.909090909,D,High-risk
0,102,110,105,102,108,109,10,9,9,10,10,10,10,13.09090909,A+,Good
1,93,107,97,101,103,102,6,6,8,10,10,9,9,9.818181818,B,OK
1,70,98,80,99,94,95,5,9,8,10,10,7,7,13.63636364,B-,OK
0,91,70,62,83,94,78,0,0,5,9,0,0,0,7.909090909,D,High-risk
0,100,84,80,74,88,85,1,5,10,9,8,8,9,6.272727273,D+,High-risk
1,88,95,81,90,102,88,9,7,0,10,0,0,0,12.81818182,C+,High-risk
1,75,92,79,84,108,91,9,4,8,10,9,6,7,8.045454545,D+,High-risk
1,72,95,89,82,0,78,9,8,0,9,0,0,0,6,F,High-risk
0,78,77,73,84,89,69,5,8,9,10,9,9,10,11.18181818,C+,High-risk
0,100,109,94,105,100,87,4,7,9,10,8,4,9,7.363636364,C+,High-risk
1,102,91,78,94,102,102,9,9,8,10,10,8,10,13.36363636,B+,OK
0,51,62,73,80,80,74,5,5,5,10,10,8,8,5.181818182,D,High-risk
0,100,106,97,94,107,97,8,9,9,9,9,7,8,7.909090909,B,OK
1,67,86,59,99,87,76,3,5,4,0,0,3,5,7.636363636,F,High-risk
1,102,103,90,96,99,89,9,6,9,8,9,8,8,12,B-,OK
0,76,92,72,84,83,78,10,5,10,8,10,8,10,6.136363636,F,High-risk
0,96,96,96,96,95,83,10,9,10,10,10,10,10,12.81818182,A-,OK
0,103,104,104,97,99,103,9,8,10,10,10,10,10,10.63636364,A,Good
1,80,65,68,77,101,80,10,9,9,10,10,0,0,10.63636364,C-,High-risk
0,81,92,103,98,102,93,8,7,8,10,8,9,10,7.909090909,B,OK
0,71,89,80,84,90,81,5,8,8,10,8,9,9,8.181818182,C-,High-risk
0,76,81,59,86,98,83,7,7,9,6,10,8,0,5.454545455,F,High-risk
1,93,106,103,102,107,105,10,7,9,10,10,5,8,13.90909091,A,Good
1,84,76,77,66,102,97,7,4,4,5,10,5,7,6.545454545,D+,High-risk
0,87,77,78,83,90,35,9,8,5,8,8,5,7,8.727272727,D-,High-risk
0,102,107,102,106,107,108,10,9,9,10,10,10,10,13.77272727,A+,Good
