Late Pass,Homework 1,Homework 2,Homework 3,Homework 4,Homework 5,Homework 6,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Quiz 6,Quiz 7,Midterm,Letter Grade,Grade
0,79.5,64,93.5,77,103,63,10,7,7,1,8,8.5,4,9,D+,High-risk
0,75.25,62.25,90.5,77,95,87,7,3.5,8,5,7.75,8.5,5,8.5238095238,C,High-risk
0,98.5,93,94,76,101,102,10,7,6,9,10,9,0,11.4285714286,B,OK
0,81.5,81,90.5,79,84,78,8,4,0,6,0,5.5,7,6.8571428571,D,High-risk
1,103.75,92,79,84,101,101,8,4,10,7,8,4.5,6,8.5238095238,C+,High-risk
1,72.5,88,100,102,111,105,8,1,10,5,6,6.5,7,5.9523809524,B-,OK
1,78,89,72.5,84,56,67,0,1.5,0,1,3,5.5,0,4.4761904762,F,High-risk
1,75.75,96,76.5,81,96,78,7,5.5,0,5,5,7,5,8.9523809524,C,High-risk
1,99,98.75,89,94,106,102,10,7,2,6,9,8.5,8,11.5238095238,B+,OK
1,92,98.5,80,98,87,92,10,10,10,5.5,9,8.5,8,8.619047619,B,OK
1,71,72,73,73,77,100,5,0,6,0,8.25,0,5,10.5714285714,D+,High-risk
1,91.5,90.5,87,95,87,89,10,4,7,5,7,9,3,6.2857142857,C,High-risk
0,53,98,84,97,93,89,10,4.5,0,5.5,8,6.5,4,3.0952380952,F,High-risk
1,92,90.75,74.5,89,85,88,7,5,0,2,7.5,8.5,1,7.119047619,C,High-risk
0,48.75,78,67,74,58,0,5,4,0,5,7,6,0,2.6666666667,F,High-risk
1,82.5,73.5,98,88,105,101,0,3.5,10,8,10,7.5,1,3.8571428571,C,High-risk
0,105.5,86.5,103,94,79,88,10,10,10,5,10,9.5,5,8.4285714286,B,OK
1,73,92,60,84,69,84,7,3,2,4.5,4.5,5.5,1,6.0476190476,D+,High-risk
1,105,103.25,108,104,111,103,10,0,10,10,10,10,10,12.1428571429,A,Good
1,81,107,107,96,79,0,10,0,6,5,8.5,7.5,5,6.7142857143,D,High-risk
1,83.75,101,102,98,85,102,7,1.5,2,2.5,9,10,0,5.4285714286,C+,High-risk
0,72.75,57,59.5,54,92,73,10,2.5,5,4,7,8.5,6,6.9523809524,D+,High-risk
1,63.25,70.5,65,77,89,84,10,5,3,4,9.75,9,5,8.0952380952,C-,High-risk
0,70,88,75,89,86,70,10,8,7,4,2.75,8,3.5,8.9523809524,C,High-risk
0,88,103,109,100,105,96,4,0,1,3,10,0,1,11,B,OK
1,0,70.25,51,95,79,0,7,9.5,9,6,6,9,7,7,F,High-risk
1,72.5,71.5,101,85,106,103,10,4.5,6,10,10,8.5,3,6.1904761905,C+,High-risk
0,31.5,71.5,9.5,50,59,88,0,4.5,2,2,4.5,3.5,0,2.1428571429,F,High-risk
1,93.75,70,76,64,58,100,10,4,10,3,5,4,2,5.2380952381,D,High-risk
0,85,99,99.5,96,101,102.5,10,7,10,6,8.5,7.5,2,6.5714285714,B,OK
