index,Homework 1,Homework 2,Homework 3,Quiz 1 ,Quiz 2 ,Quiz 3,Quiz 4 ,Quiz 5 ,Midterm,Grade
109,93,98,85,9,7.5,8,8.5,9,13.2857143,Good
110,101,97,94,9,8,10,10,0,9.85714286,OK
111,66,63,85.5,0,6,9,6,0,11.5714286,High-risk
112,102,105,109,10,9,4,10,9,15,Good
113,108,99,114,10,10,10,10,9,13.7142857,Good
114,81,72,88,9,5,0,0,0,9.42857143,High-risk
115,94,91,99,7,9.5,10,6.5,0,2.14285714,High-risk
116,88,99,97.5,6,7.5,9,8,6,13.2857143,OK
117,0,0,0,0,0,0,0,0,0,High-risk
118,103,105,106,10,10,8,10,5,13.7142857,Good
119,100,77,106.5,10,9,0,0,7,13.2857143,OK
120,106,104,69,9,5.5,8,10,10,2.57142857,High-risk
121,39,92,82,8.5,9.5,7.5,0,9,12.4285714,High-risk
122,0,87,109.5,0,0,5,5.5,8,9.85714286,High-risk
123,88,105,107,10,6.5,9,10,9,12.4285714,Good
124,96.5,85,92,7,10,9,10,0,13.7142857,Good
125,104,91,94,10,10,10,10,8,13.7142857,Good
126,100,96,99,6,9,9,8.5,0,12,Good
127,64,92,35,10,9.5,9,8,0,13.2857143,High-risk
128,87,81,85,5,9.5,0,0,0,12.8571429,OK
129,108,94,106,9,10,9,10,10,15,Good
130,0,0,0,0,0,0,0,0,0,High-risk
131,104,102,106,7,8,10,7,9,15.6428571,Good
132,93,100,73,5,1,0,10,6.5,5.14285714,High-risk
133,58,107,82,4,6,5,9,7,6.85714286,High-risk
134,85,110,95,5,5,6,9,10,12,Good
135,86,49,76,5,8,6,6,0,15.8571429,OK
136,95,106,64,5,0,0,9,0,8.57142857,High-risk
137,81,78,89.5,3,8,10,9,9.5,9.85714286,Good
138,91,94,97,5,9,6,8,8.5,13.7142857,Good
139,86,73,98,6,3,4,8,8.5,4.71428571,High-risk
140,87,85,94,6,10,4,7,8.5,10.7142857,OK
141,53,72,70,0,0,5,0,7.5,5.57142857,High-risk
142,0,45,76,0,5,10,8,9.5,5.57142857,High-risk
143,93,110,98,8,9,10,10,9.5,15,Good
144,83,101,90,6,8,10,10,10,12.8571429,OK
145,96,89,94,7,8,8,9,10,12.8571429,OK
146,81,79,91.5,7,7,6,6,9.5,9,High-risk
147,94,100,90,9,9,10,7,9,10.7142857,OK
148,52,77,41,0,6,0,0,0,5.14285714,High-risk
149,98,101,93,7,5,0,10,0,13.5,Good
150,0,0,85,5,0,4,8,7.5,6.42857143,High-risk
151,104,100,94,5,5,0,3,9,10.2857143,OK
152,102,102,107,7,9,10,0,8.5,12.6428571,Good
153,105,101,107,7,10,10,7,10,10.7142857,Good
154,90,84,87,5,9,10,10,8,8.57142857,OK
155,89,47,74,7,5,7,6,9,12.4285714,OK
156,101,98,101,7,10,6,9,10,12.4285714,Good
157,102,109,100.5,4,7,6,10,8.5,15,Good
158,0,0,0,0,0,0,0,0,1.71428571,High-risk
159,76,75,80,3,3,8,5,5,6.85714286,High-risk
160,91,93,93.5,4,8,6,8,9,8.14285714,OK
161,101,82,80.5,5,8,6,9,10,10.7142857,OK
162,51,58,78,5,7,5,7,9,1.71428571,High-risk
163,90,106,94,6,6,10,8,10,11.3571429,Good
164,91,86,86,7,8,6,7,9.5,10.9285714,OK
165,93,105,87,5,9,7,9,3.5,15,OK
166,74.5,91,83,7,7,6,8,7,14.1428571,Good
167,89,98,65,6,9,6,8,9,7.5,High-risk
168,104,94,91,10,6,10,8,9,13.7142857,Good
169,104,101,107,7,9,10,10,8.5,16.2857143,Good
170,93,91,94,8,4,6,8,9.5,16.2857143,Good
171,99,106,100,10,9,10,10,9,15,Good
172,76,105,86,6,5,5,9,4.5,8.14285714,High-risk
173,97.5,98,96,7,3,6,8,9,9.42857143,OK
174,101,110,98.5,6,4,4,10,8.5,12.2142857,Good
175,94,100,97,8,0,4,8,2,8.14285714,High-risk
176,91,92,103,3,3,0,3,0,0.85714286,High-risk
177,89,85,95,6,10,10,9,9,12.4285714,Good
178,79,103,98,5,3,4,9,9,10.9285714,OK
179,97,110,98,5,9,6,8,10,10.2857143,Good
180,84,71,69,3,4,6,6,0,4.28571429,High-risk
181,55,93,66.5,5,4,0,4,6,5.35714286,High-risk
182,69.5,94,53,5,4,4,8,7,7.5,High-risk
183,75,89,70,5,6,10,7,9,11.7857143,High-risk
184,43,86,82,5,3,9,9,9.5,6.42857143,High-risk
185,81,79,97,4,9,55,0,7,4.71428571,High-risk
186,56,95,25,5,0,0,0,0,2.57142857,High-risk
187,103,96,97,7,9,6,9,9,12.4285714,Good
188,98,100,86.5,3,4,6,7,0,13.2857143,High-risk
189,101,93,101,5,9,10,6,10,9.85714286,OK
190,93,97,89,0,6,0,0,0,6.85714286,High-risk
