index,Homework 1,Homework 2,Homework 3,Homework 4 ,Quiz 7,Midterm,Grade
81,105,108,113,102,7,14.5714286,Good
82,85,96,107,84,5,8.57142857,OK
83,0,78,0,0,0,0,High-risk
84,91,78,79,91,0,2.57142857,High-risk
85,108,91,80,97,5,13.2857143,OK
86,64.5,17,75.5,64.5,0,6.85714286,High-risk
87,80,84,82,86,5,8.57142857,High-risk
88,85,98,107,100,5,12,Good
89,107,91,93,95,7,9.85714286,OK
90,109,106,98,97,7,13.5,Good
91,92.5,99,93,98,7,15,Good
92,83,84,102,97,5,9.42857143,OK
93,99,99,102.5,79.5,1,11.5714286,Good
94,98,100,98,97,10,12,Good
95,94,88,88.5,90,0,6.42857143,High-risk
96,93,93,105,99,0,15,Good
97,108,108,111,103.5,6,13.7142857,Good
98,92,89,100.5,90,3,12.4285714,OK
99,91,84,95.5,93,3,12.8571429,OK
100,103,105,109,98,7,13.5,Good
101,73,72,80,79.5,7,12,OK
102,87,101,103,94.5,7,13.2857143,Good
103,77,77,89,89,5,15,OK
104,103,97,101.5,100,7,10.2857143,Good
105,94.5,87,90,83,5,12,OK
106,94,89,103,103,0,6.85714286,OK
107,105,97,96,101,8,12.4285714,Good
108,77,95,61.5,87,10,11.1428571,OK
109,93,98,85,99,10,13.2857143,Good
110,101,97,94,95,0,9.85714286,OK
111,66,63,85.5,92,6,11.5714286,High-risk
112,102,105,109,93,5,15,Good
113,108,99,114,101,7,13.7142857,Good
114,81,72,88,86,0,9.42857143,High-risk
115,94,91,99,97,5,2.14285714,High-risk
116,88,99,97.5,100,1,13.2857143,OK
117,0,0,0,0,0,0,High-risk
118,103,105,106,100,7,13.7142857,Good
119,100,77,106.5,91.5,0,13.2857143,OK
120,106,104,69,105,10,2.57142857,High-risk
121,39,92,82,65,6,12.4285714,High-risk
122,0,87,109.5,110,7,9.85714286,High-risk
123,88,105,107,103,10,12.4285714,Good
124,96.5,85,92,93,10,13.7142857,Good
125,104,91,94,104,5,13.7142857,Good
126,100,96,99,99,7,12,Good
127,64,92,35,32,7,13.2857143,High-risk
128,87,81,85,92,0,12.8571429,OK
129,108,94,106,103.5,7,15,Good
130,0,0,0,0,0,0,High-risk
131,104,102,106,105,6,15.6428571,Good
132,93,100,73,80,6,5.14285714,High-risk
133,58,107,82,98,6,6.85714286,High-risk
134,85,110,95,93,9,12,Good
135,86,49,76,74,9,15.8571429,OK
136,95,106,64,76,0,8.57142857,High-risk
137,81,78,89.5,103,7,9.85714286,Good
138,91,94,97,102,0,13.7142857,Good
139,86,73,98,100,9,4.71428571,High-risk
140,87,85,94,98,7,10.7142857,OK
141,53,72,70,88,6,5.57142857,High-risk
142,0,45,76,84,6,5.57142857,High-risk
143,93,110,98,97,3,15,Good
144,83,101,90,97,9,12.8571429,OK
145,96,89,94,94.5,9,12.8571429,OK
146,81,79,91.5,99,5,9,High-risk
147,94,100,90,94,4,10.7142857,OK
148,52,77,41,43,0,5.14285714,High-risk
149,98,101,93,96,7,13.5,Good
150,0,0,85,89,1,6.42857143,High-risk
151,104,100,94,86,5,10.2857143,OK
152,102,102,107,103,9,12.6428571,Good
153,105,101,107,106,9,10.7142857,Good
154,90,84,87,98,9,8.57142857,OK
155,89,47,74,86,0,12.4285714,OK
156,101,98,101,105,7,12.4285714,Good
157,102,109,100.5,103,9,15,Good
158,0,0,0,60,0,1.71428571,High-risk
159,76,75,80,84,4,6.85714286,High-risk
160,91,93,93.5,98,9,8.14285714,OK
161,101,82,80.5,87,8,10.7142857,OK
162,51,58,78,69,8,1.71428571,High-risk
163,90,106,94,84,9,11.3571429,Good
164,91,86,86,91,9,10.9285714,OK
165,93,105,87,98,8,15,OK
166,74.5,91,83,93,9,14.1428571,Good
167,89,98,65,86,8,7.5,High-risk
168,104,94,91,86,9,13.7142857,Good
169,104,101,107,105,9,16.2857143,Good
170,93,91,94,98,9,16.2857143,Good
171,99,106,100,105,0,15,Good
172,76,105,86,101,2,8.14285714,High-risk
173,97.5,98,96,98,1,9.42857143,OK
174,101,110,98.5,103,9,12.2142857,Good
175,94,100,97,86,0,8.14285714,High-risk
176,91,92,103,99,0,0.85714286,High-risk
177,89,85,95,89,9,12.4285714,Good
178,79,103,98,98,9,10.9285714,OK
179,97,110,98,95,9,10.2857143,Good
180,84,71,69,74,0,4.28571429,High-risk
181,55,93,66.5,83,0,5.35714286,High-risk
182,69.5,94,53,94,0,7.5,High-risk
183,75,89,70,104,0,11.7857143,High-risk
184,43,86,82,85,8,6.42857143,High-risk
185,81,79,97,87,6,4.71428571,High-risk
186,56,95,25,0,0,2.57142857,High-risk
187,103,96,97,91,9,12.4285714,Good
188,98,100,86.5,55,0,13.2857143,High-risk
189,101,93,101,103,9,9.85714286,OK
190,93,97,89,92,9,6.85714286,High-risk
191,103,91,65,95,0,4.28571429,High-risk
192,94,100,91.5,82,0,12,High-risk
193,91,100,98,89,9,12.4285714,OK
194,62,78,70,52,1,6.42857143,High-risk
195,91.5,81,96,96,7,8.57142857,OK
196,63,100,101,100,10,8.35714286,OK
197,92,92,82,98,8,14.1428571,OK
198,58,77,87.5,85,3,6.42857143,High-risk
199,68,72,84,79.5,0,10.7142857,High-risk
200,100,97,100,96,3,9,OK
201,77.5,90,105,98,9,13.5,OK
202,97,106,68.5,89,0,13.5,High-risk
203,80,95,90,91,8,9.85714286,OK
204,94,109,96,95,8,9,OK
205,81,91,84,81,0,8.14285714,High-risk
206,75,98,80,100,0,3.85714286,High-risk
207,53,80,76,89,5,8.78571429,High-risk
208,73,95,98,91,6,12.4285714,OK
209,102,103,105,100,6,11.1428571,Good
210,79.5,81,81,87,7,10.5,OK
211,77,92,82,79,9,12.6428571,High-risk
212,91,99,96,86,10,11.5714286,Good
213,103,100,98,104,9,15,Good
214,94,108,78,95,0,3,High-risk
215,88,100,83,90,7,7.92857143,OK
216,103,108,107,101,1,14.1428571,Good
217,102,96,103,103,4,9.85714286,Good
218,95,91,96.5,91,0,10.7142857,OK
219,100,106,79,103,1,8.57142857,OK
220,104,99,85,103,8,6,OK
221,94,108,76.5,91,0,1.28571429,High-risk
222,83,94,99,105,9,9,Good
223,107,111,106,97,10,15.85714286,OK
224,105,96,113,108,0,9.428571429,OK
225,75,92,63,98,0,4.714285714,High-risk
226,56,91,46.5,64,2,6,High-risk
227,105,78,76,78,9,10.71428571,High-risk
228,90,95,68,100,6,8.142857143,High-risk
229,89,101,103,105,5,11.14285714,OK
230,108,106,105,90,10,14.14285714,Good
231,99,112,103,99.5,10,17.14285714,Good
232,90,86,0,49,10,8.571428571,High-risk
233,71,89,104,87,0,6,High-risk
234,105,90,97,96,10,15,OK
235,92,85,105,86,0,12.42857143,OK
236,0,0,0,0,0,0,High-risk
237,88.2,92,110,98,8,9.857142857,High-risk
238,70,98,66.5,0,7,6.428571429,High-risk
239,98,89,88,100,10,16.28571429,Good
240,96,103,101,105,10,11.57142857,OK
241,43,88,87.5,98,0,3.428571429,High-risk
242,72,85,69,87,10,9.428571429,High-risk
243,84,98,78,87,5,8.571428571,High-risk
244,98,105,98,83,9,14.57142857,Good
245,89,86,84,91,9,9.428571429,High-risk
246,100,105,108.5,107,8,15,Good
247,100,76,81,89,10,12.42857143,OK
248,99,85,77,96,7,10.71428571,OK
249,74,80,48,65,0,4.714285714,High-risk
250,79,99,96,96,6,15.85714286,OK
251,107,104,97,99,9,14.14285714,Good
252,94,81,99.5,94,10,16.71428571,OK
253,102,87,89,97,7,14.57142857,Good
254,83,113,108,105,9,17.14285714,Good
255,96,96,72,94,3,8.142857143,High-risk
256,97,101,101,91,2,10.71428571,High-risk
257,108,116,106,104,10,13.71428571,Good
258,97,72,56,51,7,10.28571429,High-risk
259,103,99,102,94,6,11.14285714,OK
260,66,85,69,84,1,9.857142857,High-risk
261,86,98,77,76,8,15.42857143,OK
262,101,75,0,0,0,11.57142857,High-risk
263,102,102,105,92,10,16.28571429,Good
264,102,98,97,96,6,10.71428571,OK
265,21,86,40,72,3,1.285714286,High-risk
266,81,105,98.5,84,9,13.28571429,OK
267,109,112,98,110,5,13.28571429,Good
268,93,112,97,107,8,12.42857143,OK
269,102,111,92,100,9,14.57142857,Good
270,93,100,102,91,8,7.714285714,High-risk
271,101,103,79,82,10,14.57142857,OK
272,109,104,108,108,9,13.28571429,Good
273,80,90,75,0,5,11.57142857,High-risk
274,62,90,88,97,0,3.857142857,High-risk
275,92,117,88,82,0,8.142857143,High-risk
276,57,98,77.5,102,4,5.571428571,High-risk
277,83,94,79,98,8,7.714285714,High-risk
278,70,57,33,78,3,9,High-risk
279,87,94,92,93,6,9.857142857,High-risk
280,91,58,96.5,74,5,9.857142857,High-risk
281,109,90,109,103,10,14.57142857,High-risk
282,101,106,73,95,0,2.142857143,High-risk
283,93,0,0,0,0,6.857142857,High-risk
