index,Homework 1,Homework 2,Quiz 1 ,Quiz 2 ,Quiz 3,Grade
191,103,91,0,1,4,High-risk
192,94,100,6,2,6,High-risk
193,91,100,4,7,6,OK
194,62,78,1,1,5,High-risk
195,91.5,81,7,6,6,OK
196,63,100,4,10,6,OK
197,92,92,2,4,10,OK
198,58,77,2,3,1,High-risk
199,68,72,5,8,7,High-risk
200,100,97,7,4,6,OK
201,77.5,90,5,5,6,OK
202,97,106,4,8,3,High-risk
203,80,95,5,10,6,OK
204,94,109,3,8,0,OK
205,81,91,6,6,7,High-risk
206,75,98,2,6,0,High-risk
207,53,80,4,8,4,High-risk
208,73,95,4,5,6,OK
209,102,103,6,4,6,Good
210,79.5,81,6,5,5,OK
211,77,92,6,8,0,High-risk
212,91,99,7,10,6,Good
213,103,100,10,8,9,Good
214,94,108,1,9,0,High-risk
215,88,100,2,5,0,OK
216,103,108,6,3,6,Good
217,102,96,4,6,5,Good
218,95,91,4,8,6,OK
219,100,106,4,6,0,OK
220,104,99,2,7,6,OK
221,94,108,3,0,0,High-risk
222,83,94,5,4,6,Good
223,107,111,10,7,1,OK
224,105,96,0,0,0,OK
225,75,92,5,0,0,High-risk
226,56,91,3,3,3,High-risk
227,105,78,6,7,10,High-risk
228,90,95,6,4,10,High-risk
229,89,101,10,10,6,OK
230,108,106,10,9,10,Good
231,99,112,10,9,7,Good
232,90,86,7,6,6,High-risk
233,71,89,5,7,3,High-risk
234,105,90,6,10,7,OK
235,92,85,4,8,7,OK
236,0,0,0,0,0,High-risk
237,88.2,92,6,1,7,High-risk
238,70,98,3,8,2,High-risk
239,98,89,6,9,10,Good
240,96,103,7,0,7,OK
241,43,88,1,9,7,High-risk
242,72,85,6,0,5,High-risk
243,84,98,8,0,6,High-risk
244,98,105,10,2,10,Good
245,89,86,5,4,1,High-risk
246,100,105,10,6,6,Good
247,100,76,10,7,4,OK
248,99,85,2,7,10,OK
249,74,80,0,1,0,High-risk
250,79,99,6,9,7,OK
251,107,104,10,10,10,Good
252,94,81,10,5,10,OK
253,102,87,10,5,3,Good
254,83,113,10,10,6,Good
255,96,96,6,3,7,High-risk
256,97,101,5,7,5,High-risk
257,108,116,10,7,10,Good
258,97,72,8,6,6,High-risk
259,103,99,10,6,7,OK
260,66,85,1,7,10,High-risk
261,86,98,6,3,7,OK
262,101,75,7,8,5,High-risk
263,102,102,7,10,10,Good
264,102,98,6,9,7,OK
265,21,86,1,0,7,High-risk
266,81,105,5,7,6,OK
267,109,112,10,7,7,Good
268,93,112,7,3,3,OK
269,102,111,10,9,10,Good
270,93,100,6,8,2,High-risk
271,101,103,8,7,7,OK
272,109,104,10,7,0,Good
273,80,90,6,3,10,High-risk
274,62,90,4,4,5,High-risk
275,92,117,10,6,10,High-risk
276,57,98,4,0,6,High-risk
277,83,94,10,5,5,High-risk
278,70,57,6,9,10,High-risk
279,87,94,6,1,6,High-risk
280,91,58,6,1,7,High-risk
281,109,90,10,6,6,High-risk
282,101,106,7,9,3,High-risk
283,93,0,7,4,10,High-risk
284,47,59,3,0,7,High-risk
285,53,59,10,4,0,High-risk
